TransactionID,TransactionDate,TransactionAmount,TransactionType,AccountBalance,AccountID,CustomerAge,CustomerOccupation
35,2024-01-06,-2809,debit,39319,1,29,Analyst
36,2024-01-23,-2905,debit,36414,1,29,Analyst
37,2024-01-12,-3367,debit,33047,1,29,Analyst
38,2024-01-24,-1585,debit,31462,1,29,Analyst
39,2024-01-10,-3204,debit,28258,1,29,Analyst
40,2024-01-17,-4065,debit,24193,1,29,Analyst
41,2024-02-01,74344,credit,98537,1,29,Analyst
42,2024-02-05,-3247,debit,95290,1,29,Analyst
43,2024-02-06,-3247,debit,92043,1,29,Analyst
44,2024-02-07,-3247,debit,88796,1,29,Analyst
45,2024-02-23,-1893,debit,86903,1,29,Analyst
46,2024-02-09,-288,debit,86615,1,29,Analyst
47,2024-02-11,-4364,debit,82251,1,29,Analyst
48,2024-02-14,-1012,debit,81239,1,29,Analyst
49,2024-02-12,-3191,debit,78048,1,29,Analyst
50,2024-02-07,-2113,debit,75935,1,29,Analyst
51,2024-02-08,-3861,debit,72074,1,29,Analyst
52,2024-02-11,-1502,debit,70572,1,29,Analyst
53,2024-02-12,-4936,debit,65636,1,29,Analyst
54,2024-02-14,-1688,debit,63948,1,29,Analyst
55,2024-02-21,-2949,debit,60999,1,29,Analyst
56,2024-02-04,-1488,debit,59511,1,29,Analyst
57,2024-02-14,-2627,debit,56884,1,29,Analyst
58,2024-02-19,-4668,debit,52216,1,29,Analyst
59,2024-02-12,-4611,debit,47605,1,29,Analyst
60,2024-02-04,-3231,debit,44374,1,29,Analyst
61,2024-02-27,-4041,debit,40333,1,29,Analyst
62,2024-02-22,-2847,debit,37486,1,29,Analyst
63,2024-02-15,-2987,debit,34499,1,29,Analyst
64,2024-02-27,-3337,debit,31162,1,29,Analyst
65,2024-02-27,-949,debit,30213,1,29,Analyst
66,2024-02-14,-1146,debit,29067,1,29,Analyst
67,2024-02-13,-2003,debit,27064,1,29,Analyst
68,2024-02-02,-4320,debit,22744,1,29,Analyst
69,2024-02-12,-971,debit,21773,1,29,Analyst
70,2024-02-02,-1637,debit,20136,1,29,Analyst
71,2024-02-14,-1383,debit,18753,1,29,Analyst
72,2024-02-25,-1624,debit,17129,1,29,Analyst
73,2024-02-02,-619,debit,16510,1,29,Analyst
74,2024-02-16,-2774,debit,13736,1,29,Analyst
75,2024-02-06,-2967,debit,10769,1,29,Analyst
76,2024-02-24,-422,debit,10347,1,29,Analyst
77,2024-02-13,-1249,debit,9098,1,29,Analyst
78,2024-02-11,-789,debit,8309,1,29,Analyst
79,2024-02-16,-3920,debit,4389,1,29,Analyst
80,2024-02-12,-1923,debit,2466,1,29,Analyst
81,2024-03-02,74344,credit,76810,1,29,Analyst
82,2024-03-06,-3247,debit,73563,1,29,Analyst
83,2024-03-07,-3247,debit,70316,1,29,Analyst
84,2024-03-08,-3247,debit,67069,1,29,Analyst
85,2024-03-09,-1922,debit,65147,1,29,Analyst
86,2024-03-17,-2955,debit,62192,1,29,Analyst
87,2024-03-22,-2868,debit,59324,1,29,Analyst
88,2024-03-25,-726,debit,58598,1,29,Analyst
89,2024-03-15,-4154,debit,54444,1,29,Analyst
90,2024-03-29,-215,debit,54229,1,29,Analyst
91,2024-03-14,-4499,debit,49730,1,29,Analyst
92,2024-03-21,-4036,debit,45694,1,29,Analyst
93,2024-03-17,-2806,debit,42888,1,29,Analyst
94,2024-03-19,-2151,debit,40737,1,29,Analyst
95,2024-03-09,-263,debit,40474,1,29,Analyst
96,2024-03-25,-1992,debit,38482,1,29,Analyst
97,2024-03-26,-2182,debit,36300,1,29,Analyst
98,2024-03-06,-2086,debit,34214,1,29,Analyst
99,2024-03-20,-591,debit,33623,1,29,Analyst
100,2024-03-21,-995,debit,32628,1,29,Analyst
101,2024-03-09,-454,debit,32174,1,29,Analyst
102,2024-03-19,-350,debit,31824,1,29,Analyst
103,2024-03-14,-1768,debit,30056,1,29,Analyst
104,2024-03-08,-1747,debit,28309,1,29,Analyst
105,2024-03-05,-277,debit,28032,1,29,Analyst
106,2024-03-21,-2522,debit,25510,1,29,Analyst
107,2024-03-15,-272,debit,25238,1,29,Analyst
108,2024-03-09,-2017,debit,23221,1,29,Analyst
109,2024-03-12,-2330,debit,20891,1,29,Analyst
110,2024-03-21,-4667,debit,16224,1,29,Analyst
111,2024-03-03,-3638,debit,12586,1,29,Analyst
112,2024-03-11,-2420,debit,10166,1,29,Analyst
113,2024-03-05,-3336,debit,6830,1,29,Analyst
114,2024-03-07,-4476,debit,2354,1,29,Analyst
115,2024-03-13,-4565,debit,-2211,1,29,Analyst
116,2024-03-23,-560,debit,-2771,1,29,Analyst
117,2024-03-04,-4610,debit,-7381,1,29,Analyst
118,2024-03-05,-3992,debit,-11373,1,29,Analyst
119,2024-03-28,-2112,debit,-13485,1,29,Analyst
120,2024-03-11,-1373,debit,-14858,1,29,Analyst
121,2024-04-01,74344,credit,59486,1,29,Analyst
122,2024-04-05,-3247,debit,56239,1,29,Analyst
123,2024-04-06,-3247,debit,52992,1,29,Analyst
124,2024-04-07,-3247,debit,49745,1,29,Analyst
125,2024-04-10,-2944,debit,46801,1,29,Analyst
126,2024-04-14,-2402,debit,44399,1,29,Analyst
127,2024-04-26,-2703,debit,41696,1,29,Analyst
128,2024-04-08,-1782,debit,39914,1,29,Analyst
129,2024-04-10,-2622,debit,37292,1,29,Analyst
130,2024-04-21,-1941,debit,35351,1,29,Analyst
131,2024-04-06,-2778,debit,32573,1,29,Analyst
132,2024-04-07,-1230,debit,31343,1,29,Analyst
133,2024-04-27,-2121,debit,29222,1,29,Analyst
134,2024-04-21,-1785,debit,27437,1,29,Analyst
135,2024-04-15,-4289,debit,23148,1,29,Analyst
136,2024-04-16,-3307,debit,19841,1,29,Analyst
137,2024-04-14,-2072,debit,17769,1,29,Analyst
138,2024-04-26,-2561,debit,15208,1,29,Analyst
139,2024-04-15,-3914,debit,11294,1,29,Analyst
140,2024-04-16,-2425,debit,8869,1,29,Analyst
141,2024-04-21,-1595,debit,7274,1,29,Analyst
142,2024-04-10,-451,debit,6823,1,29,Analyst
143,2024-04-11,-4445,debit,2378,1,29,Analyst
144,2024-04-27,-939,debit,1439,1,29,Analyst
145,2024-04-05,-2559,debit,-1120,1,29,Analyst
146,2024-04-17,-3535,debit,-4655,1,29,Analyst
147,2024-04-16,-4429,debit,-9084,1,29,Analyst
148,2024-04-25,-3507,debit,-12591,1,29,Analyst
149,2024-04-13,-847,debit,-13438,1,29,Analyst
150,2024-04-15,-1569,debit,-15007,1,29,Analyst
151,2024-04-21,-3392,debit,-18399,1,29,Analyst
152,2024-04-22,-4909,debit,-23308,1,29,Analyst
153,2024-04-22,-3765,debit,-27073,1,29,Analyst
154,2024-04-19,-4001,debit,-31074,1,29,Analyst
155,2024-04-20,-4778,debit,-35852,1,29,Analyst
156,2024-04-03,-2607,debit,-38459,1,29,Analyst
157,2024-04-07,-4938,debit,-43397,1,29,Analyst
158,2024-04-12,-3964,debit,-47361,1,29,Analyst
159,2024-04-20,-808,debit,-48169,1,29,Analyst
160,2024-04-13,-1596,debit,-49765,1,29,Analyst
161,2024-05-01,74344,credit,24579,1,29,Analyst
162,2024-05-05,-3247,debit,21332,1,29,Analyst
163,2024-05-06,-3247,debit,18085,1,29,Analyst
164,2024-05-07,-3247,debit,14838,1,29,Analyst
165,2024-05-12,-3533,debit,11305,1,29,Analyst
166,2024-05-03,-2507,debit,8798,1,29,Analyst
167,2024-05-27,-3731,debit,5067,1,29,Analyst
168,2024-05-22,-3953,debit,1114,1,29,Analyst
169,2024-05-02,-1356,debit,-242,1,29,Analyst
170,2024-05-08,-4756,debit,-4998,1,29,Analyst
171,2024-05-03,-1724,debit,-6722,1,29,Analyst
172,2024-05-12,-440,debit,-7162,1,29,Analyst
173,2024-05-13,-258,debit,-7420,1,29,Analyst
174,2024-05-26,-2405,debit,-9825,1,29,Analyst
175,2024-05-15,-2109,debit,-11934,1,29,Analyst
176,2024-05-07,-2306,debit,-14240,1,29,Analyst
177,2024-05-22,-890,debit,-15130,1,29,Analyst
178,2024-05-22,-1787,debit,-16917,1,29,Analyst
179,2024-05-06,-2487,debit,-19404,1,29,Analyst
180,2024-05-15,-3126,debit,-22530,1,29,Analyst
181,2024-05-08,-1831,debit,-24361,1,29,Analyst
182,2024-05-02,-4331,debit,-28692,1,29,Analyst
183,2024-05-18,-1109,debit,-29801,1,29,Analyst
184,2024-05-03,-1452,debit,-31253,1,29,Analyst
185,2024-05-23,-4724,debit,-35977,1,29,Analyst
186,2024-05-27,-3967,debit,-39944,1,29,Analyst
187,2024-05-21,-1213,debit,-41157,1,29,Analyst
188,2024-05-15,-3457,debit,-44614,1,29,Analyst
189,2024-05-03,-1523,debit,-46137,1,29,Analyst
190,2024-05-28,-1021,debit,-47158,1,29,Analyst
191,2024-05-14,-3027,debit,-50185,1,29,Analyst
192,2024-05-04,-2795,debit,-52980,1,29,Analyst
193,2024-05-26,-790,debit,-53770,1,29,Analyst
194,2024-05-26,-2279,debit,-56049,1,29,Analyst
195,2024-05-27,-4373,debit,-60422,1,29,Analyst
196,2024-05-02,-3094,debit,-63516,1,29,Analyst
197,2024-05-17,-266,debit,-63782,1,29,Analyst
198,2024-05-15,-4547,debit,-68329,1,29,Analyst
199,2024-05-21,-3393,debit,-71722,1,29,Analyst
200,2024-05-08,-4532,debit,-76254,1,29,Analyst
201,2024-05-31,74344,credit,-1910,1,29,Analyst
202,2024-06-04,-3247,debit,-5157,1,29,Analyst
203,2024-06-05,-3247,debit,-8404,1,29,Analyst
204,2024-06-06,-3247,debit,-11651,1,29,Analyst
205,2024-06-11,-4039,debit,-15690,1,29,Analyst
206,2024-06-19,-1124,debit,-16814,1,29,Analyst
207,2024-06-19,-1733,debit,-18547,1,29,Analyst
208,2024-06-12,-2102,debit,-20649,1,29,Analyst
209,2024-06-09,-2665,debit,-23314,1,29,Analyst
210,2024-06-02,-1015,debit,-24329,1,29,Analyst
211,2024-06-20,-4576,debit,-28905,1,29,Analyst
212,2024-06-14,-4535,debit,-33440,1,29,Analyst
213,2024-06-03,-873,debit,-34313,1,29,Analyst
214,2024-06-02,-3713,debit,-38026,1,29,Analyst
215,2024-06-03,-2807,debit,-40833,1,29,Analyst
216,2024-06-18,-1110,debit,-41943,1,29,Analyst
217,2024-06-23,-1763,debit,-43706,1,29,Analyst
218,2024-06-27,-4678,debit,-48384,1,29,Analyst
219,2024-06-11,-810,debit,-49194,1,29,Analyst
220,2024-06-04,-1132,debit,-50326,1,29,Analyst
221,2024-06-17,-2167,debit,-52493,1,29,Analyst
222,2024-06-20,-595,debit,-53088,1,29,Analyst
223,2024-06-25,-3056,debit,-56144,1,29,Analyst
224,2024-06-26,-4833,debit,-60977,1,29,Analyst
225,2024-06-11,-4419,debit,-65396,1,29,Analyst
226,2024-06-19,-3458,debit,-68854,1,29,Analyst
227,2024-06-02,-3972,debit,-72826,1,29,Analyst
228,2024-06-22,-1409,debit,-74235,1,29,Analyst
229,2024-06-13,-4119,debit,-78354,1,29,Analyst
230,2024-06-05,-4191,debit,-82545,1,29,Analyst
231,2024-06-26,-1827,debit,-84372,1,29,Analyst
232,2024-06-25,-1842,debit,-86214,1,29,Analyst
233,2024-06-26,-3223,debit,-89437,1,29,Analyst
234,2024-06-03,-4428,debit,-93865,1,29,Analyst
235,2024-06-21,-1351,debit,-95216,1,29,Analyst
236,2024-06-05,-3035,debit,-98251,1,29,Analyst
237,2024-06-10,-3645,debit,-101896,1,29,Analyst
238,2024-06-21,-3436,debit,-105332,1,29,Analyst
239,2024-06-12,-1150,debit,-106482,1,29,Analyst
240,2024-06-05,-3842,debit,-110324,1,29,Analyst
241,2024-01-02,37879,credit,105970,2,41,Student
242,2024-01-06,-11499,debit,94471,2,41,Student
243,2024-01-07,-11499,debit,82972,2,41,Student
244,2024-01-08,-11499,debit,71473,2,41,Student
245,2024-01-19,-2547,debit,68926,2,41,Student
246,2024-01-22,-777,debit,68149,2,41,Student
247,2024-01-09,-2332,debit,65817,2,41,Student
248,2024-01-04,-715,debit,65102,2,41,Student
249,2024-01-15,-895,debit,64207,2,41,Student
250,2024-01-25,-4102,debit,60105,2,41,Student
251,2024-01-26,-1575,debit,58530,2,41,Student
252,2024-01-04,-2264,debit,56266,2,41,Student
253,2024-01-05,-3818,debit,52448,2,41,Student
254,2024-01-13,-1266,debit,51182,2,41,Student
255,2024-01-09,-539,debit,50643,2,41,Student
256,2024-01-06,-1125,debit,49518,2,41,Student
257,2024-01-20,-4987,debit,44531,2,41,Student
258,2024-01-04,-4007,debit,40524,2,41,Student
259,2024-01-10,-2572,debit,37952,2,41,Student
260,2024-01-12,-1100,debit,36852,2,41,Student
261,2024-01-04,-2979,debit,33873,2,41,Student
262,2024-01-24,-4580,debit,29293,2,41,Student
263,2024-01-23,-1725,debit,27568,2,41,Student
264,2024-01-08,-2014,debit,25554,2,41,Student
265,2024-01-29,-3042,debit,22512,2,41,Student
266,2024-01-18,-1689,debit,20823,2,41,Student
267,2024-01-26,-4790,debit,16033,2,41,Student
268,2024-01-14,-1525,debit,14508,2,41,Student
269,2024-01-11,-2058,debit,12450,2,41,Student
270,2024-01-24,-524,debit,11926,2,41,Student
271,2024-01-23,-3552,debit,8374,2,41,Student
272,2024-01-17,-2127,debit,6247,2,41,Student
273,2024-01-15,-3094,debit,3153,2,41,Student
274,2024-01-22,-1889,debit,1264,2,41,Student
275,2024-01-05,-4831,debit,-3567,2,41,Student
276,2024-01-13,-2463,debit,-6030,2,41,Student
277,2024-01-29,-867,debit,-6897,2,41,Student
278,2024-01-19,-3884,debit,-10781,2,41,Student
279,2024-01-29,-608,debit,-11389,2,41,Student
280,2024-01-23,-3700,debit,-15089,2,41,Student
281,2024-02-01,37879,credit,22790,2,41,Student
282,2024-02-05,-11499,debit,11291,2,41,Student
283,2024-02-06,-11499,debit,-208,2,41,Student
284,2024-02-07,-11499,debit,-11707,2,41,Student
285,2024-02-10,-4910,debit,-16617,2,41,Student
286,2024-02-17,-2727,debit,-19344,2,41,Student
287,2024-02-15,-3298,debit,-22642,2,41,Student
288,2024-02-17,-3043,debit,-25685,2,41,Student
289,2024-02-23,-3195,debit,-28880,2,41,Student
290,2024-02-12,-4704,debit,-33584,2,41,Student
291,2024-02-23,-4796,debit,-38380,2,41,Student
292,2024-02-25,-4709,debit,-43089,2,41,Student
293,2024-02-25,-4019,debit,-47108,2,41,Student
294,2024-02-11,-880,debit,-47988,2,41,Student
295,2024-02-19,-2581,debit,-50569,2,41,Student
296,2024-02-21,-2129,debit,-52698,2,41,Student
297,2024-02-16,-1913,debit,-54611,2,41,Student
298,2024-02-21,-3654,debit,-58265,2,41,Student
299,2024-02-02,-4044,debit,-62309,2,41,Student
300,2024-02-19,-3064,debit,-65373,2,41,Student
301,2024-02-13,-2442,debit,-67815,2,41,Student
302,2024-02-14,-1974,debit,-69789,2,41,Student
303,2024-02-24,-4632,debit,-74421,2,41,Student
304,2024-02-09,-1300,debit,-75721,2,41,Student
305,2024-02-28,-2604,debit,-78325,2,41,Student
306,2024-02-05,-4818,debit,-83143,2,41,Student
307,2024-02-19,-4958,debit,-88101,2,41,Student
308,2024-02-19,-1137,debit,-89238,2,41,Student
309,2024-02-28,-2408,debit,-91646,2,41,Student
310,2024-02-08,-3994,debit,-95640,2,41,Student
311,2024-02-28,-1344,debit,-96984,2,41,Student
312,2024-02-23,-1862,debit,-98846,2,41,Student
313,2024-02-19,-2314,debit,-101160,2,41,Student
314,2024-02-20,-3157,debit,-104317,2,41,Student
315,2024-02-24,-3023,debit,-107340,2,41,Student
316,2024-02-17,-3150,debit,-110490,2,41,Student
317,2024-02-28,-437,debit,-110927,2,41,Student
318,2024-02-18,-4115,debit,-115042,2,41,Student
319,2024-02-07,-4562,debit,-119604,2,41,Student
320,2024-02-02,-862,debit,-120466,2,41,Student
321,2024-03-02,37879,credit,-82587,2,41,Student
322,2024-03-06,-11499,debit,-94086,2,41,Student
323,2024-03-07,-11499,debit,-105585,2,41,Student
324,2024-03-08,-11499,debit,-117084,2,41,Student
325,2024-03-09,-1077,debit,-118161,2,41,Student
326,2024-03-16,-2598,debit,-120759,2,41,Student
327,2024-03-23,-2921,debit,-123680,2,41,Student
328,2024-03-07,-3443,debit,-127123,2,41,Student
329,2024-03-23,-821,debit,-127944,2,41,Student
330,2024-03-25,-789,debit,-128733,2,41,Student
331,2024-03-10,-617,debit,-129350,2,41,Student
332,2024-03-17,-3501,debit,-132851,2,41,Student
333,2024-03-16,-4437,debit,-137288,2,41,Student
334,2024-03-27,-1879,debit,-139167,2,41,Student
335,2024-03-26,-1126,debit,-140293,2,41,Student
336,2024-03-26,-4335,debit,-144628,2,41,Student
337,2024-03-18,-2011,debit,-146639,2,41,Student
338,2024-03-29,-3972,debit,-150611,2,41,Student
339,2024-03-09,-4215,debit,-154826,2,41,Student
340,2024-03-26,-3867,debit,-158693,2,41,Student
341,2024-03-24,-1469,debit,-160162,2,41,Student
342,2024-03-18,-1066,debit,-161228,2,41,Student
343,2024-03-04,-1970,debit,-163198,2,41,Student
344,2024-03-29,-4805,debit,-168003,2,41,Student
345,2024-03-29,-2539,debit,-170542,2,41,Student
346,2024-03-09,-3498,debit,-174040,2,41,Student
347,2024-03-25,-2465,debit,-176505,2,41,Student
348,2024-03-04,-1491,debit,-177996,2,41,Student
349,2024-03-03,-3663,debit,-181659,2,41,Student
350,2024-03-20,-4264,debit,-185923,2,41,Student
351,2024-03-18,-2687,debit,-188610,2,41,Student
352,2024-03-19,-4410,debit,-193020,2,41,Student
353,2024-03-24,-356,debit,-193376,2,41,Student
354,2024-03-18,-1816,debit,-195192,2,41,Student
355,2024-03-08,-1840,debit,-197032,2,41,Student
356,2024-03-21,-3403,debit,-200435,2,41,Student
357,2024-03-10,-1765,debit,-202200,2,41,Student
358,2024-03-21,-4626,debit,-206826,2,41,Student
359,2024-03-06,-1893,debit,-208719,2,41,Student
360,2024-03-16,-3891,debit,-212610,2,41,Student
361,2024-04-01,37879,credit,-174731,2,41,Student
362,2024-04-05,-11499,debit,-186230,2,41,Student
363,2024-04-06,-11499,debit,-197729,2,41,Student
364,2024-04-07,-11499,debit,-209228,2,41,Student
365,2024-04-03,-4157,debit,-213385,2,41,Student
366,2024-04-23,-1709,debit,-215094,2,41,Student
367,2024-04-24,-1508,debit,-216602,2,41,Student
368,2024-04-14,-4030,debit,-220632,2,41,Student
369,2024-04-27,-2458,debit,-223090,2,41,Student
370,2024-04-11,-3343,debit,-226433,2,41,Student
371,2024-04-09,-2200,debit,-228633,2,41,Student
372,2024-04-21,-3807,debit,-232440,2,41,Student
373,2024-04-04,-3484,debit,-235924,2,41,Student
374,2024-04-07,-2351,debit,-238275,2,41,Student
375,2024-04-12,-4851,debit,-243126,2,41,Student
376,2024-04-24,-4129,debit,-247255,2,41,Student
377,2024-04-11,-3726,debit,-250981,2,41,Student
378,2024-04-14,-3337,debit,-254318,2,41,Student
379,2024-04-19,-4337,debit,-258655,2,41,Student
380,2024-04-04,-3376,debit,-262031,2,41,Student
381,2024-04-04,-1403,debit,-263434,2,41,Student
382,2024-04-21,-4493,debit,-267927,2,41,Student
383,2024-04-10,-974,debit,-268901,2,41,Student
384,2024-04-07,-1575,debit,-270476,2,41,Student
385,2024-04-28,-2495,debit,-272971,2,41,Student
386,2024-04-07,-291,debit,-273262,2,41,Student
387,2024-04-06,-1369,debit,-274631,2,41,Student
388,2024-04-05,-3006,debit,-277637,2,41,Student
389,2024-04-02,-2341,debit,-279978,2,41,Student
390,2024-04-19,-4868,debit,-284846,2,41,Student
391,2024-04-09,-4049,debit,-288895,2,41,Student
392,2024-04-13,-3726,debit,-292621,2,41,Student
393,2024-04-07,-423,debit,-293044,2,41,Student
394,2024-04-07,-3364,debit,-296408,2,41,Student
395,2024-04-12,-1254,debit,-297662,2,41,Student
396,2024-04-07,-1854,debit,-299516,2,41,Student
397,2024-04-11,-348,debit,-299864,2,41,Student
398,2024-04-14,-1208,debit,-301072,2,41,Student
399,2024-04-19,-2743,debit,-303815,2,41,Student
400,2024-04-10,-1141,debit,-304956,2,41,Student
401,2024-05-01,37879,credit,-267077,2,41,Student
402,2024-05-05,-11499,debit,-278576,2,41,Student
403,2024-05-06,-11499,debit,-290075,2,41,Student
404,2024-05-07,-11499,debit,-301574,2,41,Student
405,2024-05-17,-986,debit,-302560,2,41,Student
406,2024-05-24,-4392,debit,-306952,2,41,Student
407,2024-05-23,-3103,debit,-310055,2,41,Student
408,2024-05-04,-588,debit,-310643,2,41,Student
409,2024-05-20,-2847,debit,-313490,2,41,Student
410,2024-05-13,-1176,debit,-314666,2,41,Student
411,2024-05-14,-1598,debit,-316264,2,41,Student
412,2024-05-25,-3817,debit,-320081,2,41,Student
413,2024-05-08,-476,debit,-320557,2,41,Student
414,2024-05-26,-379,debit,-320936,2,41,Student
415,2024-05-02,-4437,debit,-325373,2,41,Student
416,2024-05-20,-773,debit,-326146,2,41,Student
417,2024-05-17,-4157,debit,-330303,2,41,Student
418,2024-05-24,-3418,debit,-333721,2,41,Student
419,2024-05-12,-4548,debit,-338269,2,41,Student
420,2024-05-24,-2894,debit,-341163,2,41,Student
421,2024-05-25,-229,debit,-341392,2,41,Student
422,2024-05-18,-4089,debit,-345481,2,41,Student
423,2024-05-24,-1421,debit,-346902,2,41,Student
424,2024-05-17,-3260,debit,-350162,2,41,Student
425,2024-05-04,-734,debit,-350896,2,41,Student
426,2024-05-07,-1863,debit,-352759,2,41,Student
427,2024-05-28,-3536,debit,-356295,2,41,Student
428,2024-05-13,-2140,debit,-358435,2,41,Student
429,2024-05-28,-3584,debit,-362019,2,41,Student
430,2024-05-27,-3999,debit,-366018,2,41,Student
431,2024-05-24,-540,debit,-366558,2,41,Student
432,2024-05-23,-1755,debit,-368313,2,41,Student
433,2024-05-04,-3136,debit,-371449,2,41,Student
434,2024-05-21,-1665,debit,-373114,2,41,Student
435,2024-05-17,-3349,debit,-376463,2,41,Student
436,2024-05-05,-1217,debit,-377680,2,41,Student
437,2024-05-02,-3080,debit,-380760,2,41,Student
438,2024-05-17,-538,debit,-381298,2,41,Student
439,2024-05-18,-3894,debit,-385192,2,41,Student
440,2024-05-07,-4414,debit,-389606,2,41,Student
441,2024-05-31,37879,credit,-351727,2,41,Student
442,2024-06-04,-11499,debit,-363226,2,41,Student
443,2024-06-05,-11499,debit,-374725,2,41,Student
444,2024-06-06,-11499,debit,-386224,2,41,Student
445,2024-06-20,-2720,debit,-388944,2,41,Student
446,2024-06-13,-1751,debit,-390695,2,41,Student
447,2024-06-19,-1695,debit,-392390,2,41,Student
448,2024-06-01,-427,debit,-392817,2,41,Student
449,2024-06-05,-2646,debit,-395463,2,41,Student
450,2024-06-11,-517,debit,-395980,2,41,Student
451,2024-06-09,-2843,debit,-398823,2,41,Student
452,2024-06-07,-4938,debit,-403761,2,41,Student
453,2024-06-09,-4780,debit,-408541,2,41,Student
454,2024-06-13,-1615,debit,-410156,2,41,Student
455,2024-06-20,-4839,debit,-414995,2,41,Student
456,2024-06-20,-1551,debit,-416546,2,41,Student
457,2024-06-06,-2960,debit,-419506,2,41,Student
458,2024-06-25,-3203,debit,-422709,2,41,Student
459,2024-06-20,-3700,debit,-426409,2,41,Student
460,2024-06-25,-4854,debit,-431263,2,41,Student
461,2024-06-13,-4336,debit,-435599,2,41,Student
462,2024-06-16,-1215,debit,-436814,2,41,Student
463,2024-06-07,-3381,debit,-440195,2,41,Student
464,2024-06-02,-4634,debit,-444829,2,41,Student
465,2024-06-09,-702,debit,-445531,2,41,Student
466,2024-06-09,-2265,debit,-447796,2,41,Student
467,2024-06-17,-443,debit,-448239,2,41,Student
468,2024-06-17,-4764,debit,-453003,2,41,Student
469,2024-06-13,-3976,debit,-456979,2,41,Student
470,2024-06-23,-1720,debit,-458699,2,41,Student
471,2024-06-05,-3414,debit,-462113,2,41,Student
472,2024-06-22,-4224,debit,-466337,2,41,Student
473,2024-06-05,-1466,debit,-467803,2,41,Student
474,2024-06-20,-4261,debit,-472064,2,41,Student
475,2024-06-14,-2794,debit,-474858,2,41,Student
476,2024-06-20,-255,debit,-475113,2,41,Student
477,2024-06-22,-2320,debit,-477433,2,41,Student
478,2024-06-06,-3677,debit,-481110,2,41,Student
479,2024-06-22,-1921,debit,-483031,2,41,Student
480,2024-06-26,-4053,debit,-487084,2,41,Student
481,2024-01-02,57009,credit,143376,3,29,Technician
482,2024-01-06,-5128,debit,138248,3,29,Technician
483,2024-01-07,-5128,debit,133120,3,29,Technician
484,2024-01-08,-5128,debit,127992,3,29,Technician
485,2024-01-19,-3727,debit,124265,3,29,Technician
486,2024-01-23,-3742,debit,120523,3,29,Technician
487,2024-01-27,-2653,debit,117870,3,29,Technician
488,2024-01-15,-1479,debit,116391,3,29,Technician
489,2024-01-10,-4878,debit,111513,3,29,Technician
490,2024-01-10,-4214,debit,107299,3,29,Technician
491,2024-01-12,-3567,debit,103732,3,29,Technician
492,2024-01-13,-4852,debit,98880,3,29,Technician
493,2024-01-08,-405,debit,98475,3,29,Technician
494,2024-01-03,-1394,debit,97081,3,29,Technician
495,2024-01-14,-703,debit,96378,3,29,Technician
496,2024-01-03,-1178,debit,95200,3,29,Technician
497,2024-01-14,-1696,debit,93504,3,29,Technician
498,2024-01-03,-806,debit,92698,3,29,Technician
499,2024-01-20,-2456,debit,90242,3,29,Technician
500,2024-01-29,-2948,debit,87294,3,29,Technician
501,2024-01-26,-1029,debit,86265,3,29,Technician
502,2024-01-23,-3890,debit,82375,3,29,Technician
503,2024-01-27,-4610,debit,77765,3,29,Technician
504,2024-01-10,-654,debit,77111,3,29,Technician
505,2024-01-27,-356,debit,76755,3,29,Technician
506,2024-01-05,-306,debit,76449,3,29,Technician
